Author,Title,Series?,Series Name
Solomon Northup,Twelve Years A Slave,NO,N/A
Stephen Hawking,A Brief History of Time,NO,N/A
Stephen King,Carrie,NO,N/A
Stephen King,Cell,NO,N/A
Stephen King,The dark Half,NO,N/A
Stephen King,Salem's Lot,NO,N/A
Stephen King,The Shinning,NO,N/A
Stephen King,Black House,NO,N/A
Stephen King,Doctor Sleep,NO,N/A
Stephen King,Four Past Midnight,NO,N/A
Stephen King,The Green Mile,NO,N/A
Stevenson,Treasure Islans,NO,N/A
Stieg Larsson,The Girl who Kicked the horner's Nest,YES,Millennium
Sword Art Online,fairy dance: #1-3,YES,Fairy Dance
Sword Art Online,Aincrad #1,YES,Aincrad
Sylvia Nasar,A Beautiful Mind,NO,N/A
Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo,NO,N/A
Thomas Keneally,Schindler's List,NO,N/A
Tomi Adeyemi,Children of Blood and Bone (1),YES,Legacy of Orisha
Tony Cliff,"Delilah Dirk: 1,2",YES,Delilah Dirk
V.E Schwab,The Invisible Life of Addie LaRue,NO,N/A
Walter Isaacson,Steve Jobs,NO,N/A
William Golding,Lord of the Flies,NO,N/A
Windston Groom,Forrest Gump,NO,N/A
Yann Martel,Life of Pi,NO,N/A
Daniel Silva,Gabriel Allon 5-22,YES,Gabriel Allon
